Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (3 Hz),WE current filtered [A] (2 Hz),WE current filtered [A] (1 Hz)
-0.370158,1.793304e-06,7.69121e-07,-1.024182e-06,1.712779721551575e-06,1.705798451901403e-06,1.6574525917816836e-06
-0.3690839999999999,1.730304e-06,7.44184e-07,-9.8612e-07,1.6986660580055623e-06,1.7067419429619753e-06,1.6639587324856845e-06
-0.368009,1.672992e-06,7.31059e-07,-9.41933e-07,1.684744895399697e-06,1.7076665272344888e-06,1.670504786201928e-06
-0.3669349999999999,1.585055e-06,6.93871e-07,-8.91183e-07,1.6715844945212949e-06,1.708584198899683e-06,1.677067634161653e-06
-0.3658599999999999,1.443306e-06,6.27372e-07,-8.15933e-07,1.6597290316948488e-06,1.7095083565934837e-06,1.683625350836371e-06
-0.364786,1.366306e-06,5.578099999999999e-07,-8.08496e-07,1.649677287864617e-06,1.7104530801449384e-06,1.6901572441956996e-06
-0.363711,1.562742e-06,5.2981e-07,-1.032932e-06,1.6418630966894946e-06,1.7114324419920042e-06,1.6966438903103173e-06
-0.362637,1.613492e-06,5.000599999999999e-07,-1.113432e-06,1.636638307894887e-06,1.7124598773898303e-06,1.7030671624192707e-06
-0.361562,1.679992e-06,5.6131e-07,-1.118682e-06,1.6342589156708182e-06,1.7135476345050658e-06,1.7094102545940456e-06
-0.360488,1.596867e-06,6.94309e-07,-9.02558e-07,1.6348748732923458e-06,1.7147063217896541e-06,1.7156577001432437e-06
-0.359413,1.555743e-06,7.75684e-07,-7.80059e-07,1.6385239726369965e-06,1.7159445658473588e-06,1.7217953849116075e-06
-0.3583389999999999,1.600805e-06,7.39371e-07,-8.61433e-07,1.645130017227439e-06,1.7172687885202304e-06,1.7278105556356176e-06
-0.3572639999999999,1.579367e-06,6.51434e-07,-9.27933e-07,1.654505363610885e-06,1.718683107266818e-06,1.7336918235250945e-06
-0.35619,1.494493e-06,5.508099999999999e-07,-9.43683e-07,1.6663577505023237e-06,1.720189358192018e-06,1.7394291632462738e-06
-0.3551149999999999,1.471743e-06,5.07935e-07,-9.63808e-07,1.6803011802956014e-06,1.7217872364321952e-06,1.7450139074868055e-06
-0.354041,1.567993e-06,5.65247e-07,-1.002745e-06,1.6958704663459132e-06,1.7234745441243604e-06,1.7504387372871527e-06
-0.352967,1.664242e-06,6.47497e-07,-1.016745e-06,1.712538916320145e-06,1.7252475320395002e-06,1.7556976683261308e-06
-0.351892,1.749117e-06,7.10059e-07,-1.039057e-06,1.729738492980794e-06,1.7271013173023562e-06,1.7607860333509503e-06
-0.3508179999999999,1.812991e-06,7.50309e-07,-1.062682e-06,1.7468816863930136e-06,1.7290303566299792e-06,1.7657004609443527e-06
-0.3497429999999999,1.844491e-06,7.80934e-07,-1.063557e-06,1.7633842532168566e-06,1.7310289523665432e-06,1.7704388508233966e-06
-0.348669,1.879491e-06,8.03683e-07,-1.075807e-06,1.7786879354197865e-06,1.733091767399887e-06,1.7750003458663314e-06
-0.3475939999999999,1.896991e-06,8.15933e-07,-1.081057e-06,1.7922822655974857e-06,1.735214324882416e-06,1.7793853010658858e-06
-0.34652,1.906616e-06,8.220579999999999e-07,-1.084557e-06,1.8037245992652672e-06,1.7373934695452887e-06,1.7835952496092153e-06
-0.345445,1.915804e-06,8.29496e-07,-1.086307e-06,1.8126575835915346e-06,1.7396277692326345e-06,1.787632866286681e-06
-0.344371,1.922366e-06,8.41746e-07,-1.08062e-06,1.818823372959722e-06,1.7419178379908191e-06,1.7915019284335281e-06
-0.343296,1.925866e-06,8.47433e-07,-1.078432e-06,1.8220740292967946e-06,1.7442665654950881e-06,1.7952072746102749e-06
-0.3422219999999999,1.921491e-06,8.504959999999999e-07,-1.070995e-06,1.822377693587508e-06,1.746679241630862e-06,1.7987547612291446e-06
-0.341147,1.921054e-06,8.53121e-07,-1.067932e-06,1.819820278469052e-06,1.7491635695054165e-06,1.8021512173350372e-06
-0.3400729999999999,1.915804e-06,8.54871e-07,-1.060932e-06,1.814602604269248e-06,1.751729564876057e-06,1.805404397750219e-06
-0.3389979999999999,1.907491e-06,8.579329999999999e-07,-1.049557e-06,1.8070330763171744e-06,1.7543893447680234e-06,1.8085229347920125e-06
-0.337924,1.898303e-06,8.54871e-07,-1.043432e-06,1.7975161738552583e-06,1.757156812743808e-06,1.8115162887721384e-06
-0.336849,1.874679e-06,8.53558e-07,-1.02112e-06,1.7865371844926396e-06,1.7600472527025128e-06,1.8143946974849243e-06
-0.335775,1.849304e-06,8.49183e-07,-1.00012e-06,1.7746437669725805e-06,1.7630768470659378e-06,1.81716912488919e-06
-0.3347,1.821304e-06,8.426209999999999e-07,-9.78683e-07,1.7624250532472046e-06,1.7662621385881481e-06,1.8198512091851858e-06
-0.333626,1.746054e-06,8.20308e-07,-9.25745e-07,1.75048910276439e-06,1.7696194576603278e-06,1.8224532104833712e-06
-0.332551,1.638867e-06,7.72184e-07,-8.66683e-07,1.7394395921046504e-06,1.7731643387429045e-06,1.8249879582560424e-06
-0.3314769999999999,1.483118e-06,7.08746e-07,-7.74371e-07,1.7298526569671123e-06,1.7769109503371534e-06,1.8274687987557717e-06
-0.330402,1.415306e-06,6.46184e-07,-7.69121e-07,1.7222547975990988e-06,1.7808715626399058e-06,1.8299095425762945e-06
-0.329328,1.600367e-06,6.15997e-07,-9.8437e-07,1.7171027119856876e-06,1.7850560756924108e-06,1.8323244125219214e-06
