sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.409914;2.93233e-07;5.315601200000001e-08;-2.40077e-07
-0.40884;2.89842e-07;5.3593512000000007e-08;-2.3624799999999999e-07
-0.407765;2.86779e-07;5.4031012000000006e-08;-2.32748e-07
-0.40669099999999997;2.83826e-07;5.4577884000000003e-08;-2.29248e-07
-0.405616;2.80217e-07;5.4796632000000006e-08;-2.2542e-07
-0.40454199999999996;2.77045e-07;5.5124752000000006e-08;-2.2192e-07
-0.40346699999999996;2.7442e-07;5.545288e-08;-2.18967e-07
-0.402393;2.72123e-07;5.62185e-08;-2.15905e-07
-0.401318;2.68733e-07;5.62185e-08;-2.12514e-07
-0.400244;2.6566999999999997e-07;5.6437252000000005e-08;-2.09233e-07
-0.399169;2.63373e-07;5.6874748000000004e-08;-2.06499e-07
-0.398095;2.6053e-07;5.7312244e-08;-2.0321699999999999e-07
-0.39702;2.5834199999999997e-07;5.742162000000001e-08;-2.0092e-07
-0.39594599999999996;2.55498e-07;5.7640368000000003e-08;-1.97858e-07
-0.39487099999999997;2.5353e-07;5.7968492000000005e-08;-1.9556099999999999e-07
-0.393797;2.51123e-07;5.8296616000000006e-08;-1.9282699999999998e-07
-0.39272199999999996;2.48717e-07;5.8405992000000004e-08;-1.90311e-07
-0.391648;2.4642e-07;5.8734116000000006e-08;-1.87686e-07
-0.390573;2.44998e-07;5.9171612000000004e-08;-1.85827e-07
-0.389499;2.42483e-07;5.9280988e-08;-1.83202e-07
-0.388424;2.4062299999999997e-07;5.9499736000000005e-08;-1.81124e-07
-0.38734999999999997;2.38436e-07;5.9827856e-08;-1.78608e-07
-0.386275;2.36795e-07;6.0046612e-08;-1.76749e-07
-0.38520099999999996;2.34827e-07;6.026536e-08;-1.74561e-07
-0.38412599999999997;2.32967e-07;6.0374732e-08;-1.72592e-07
-0.383052;2.31545e-07;6.059348e-08;-1.70952e-07
-0.38197699999999996;2.29248e-07;6.081222800000001e-08;-1.68436e-07
-0.380903;2.2793599999999998e-07;6.1249732e-08;-1.66686e-07
-0.37982899999999997;2.26295e-07;6.135910400000001e-08;-1.64936e-07
-0.378754;2.2443599999999999e-07;6.135910400000001e-08;-1.63077e-07
-0.37767999999999996;2.23124e-07;6.1577852e-08;-1.61546e-07
-0.37660499999999997;2.21483e-07;6.17966e-08;-1.59686e-07
-0.375531;2.1995199999999998e-07;6.201534800000001e-08;-1.57936e-07
-0.37445599999999996;2.1852999999999999e-07;6.212472e-08;-1.56405e-07
-0.373382;2.17217e-07;6.2452852e-08;-1.54764e-07
-0.372307;2.15577e-07;6.267159600000001e-08;-1.52905e-07
-0.371233;2.13608e-07;6.2234096e-08;-1.51374e-07
-0.370158;2.12514e-07;6.2562224e-08;-1.49952e-07
-0.36908399999999997;2.11092e-07;6.2562224e-08;-1.4853e-07
-0.368009;2.09889e-07;6.267159600000001e-08;-1.47218e-07
-0.36693499999999996;2.0879499999999998e-07;6.2890344e-08;-1.45905e-07
-0.36585999999999996;2.07483e-07;6.3109092e-08;-1.44374e-07
-0.364786;2.06061e-07;6.267159600000001e-08;-1.43389e-07
-0.363711;2.05186e-07;6.321846800000001e-08;-1.41968e-07
-0.362637;2.03655e-07;6.321846800000001e-08;-1.40436e-07
-0.361562;2.0278e-07;6.343722e-08;-1.39343e-07
-0.360488;2.01795e-07;6.343722e-08;-1.38358e-07
