sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.330402;1.53671e-07;2.734363e-08;-1.26327e-07
-0.329328;1.53233e-07;2.734363e-08;-1.2589e-07
-0.32825299999999996;1.53014e-07;2.7453004000000002e-08;-1.25561e-07
-0.327179;1.52139e-07;2.7562376000000003e-08;-1.24577e-07
-0.326104;1.52139e-07;2.7671752e-08;-1.24468e-07
-0.32503;1.51921e-07;2.7890502e-08;-1.2403e-07
-0.32395599999999997;1.51811e-07;2.7999876000000003e-08;-1.23811e-07
-0.322881;1.51374e-07;2.7999876000000003e-08;-1.23374e-07
-0.321807;1.51046e-07;2.810925e-08;-1.22936e-07
-0.32073199999999996;1.51374e-07;2.8765498000000003e-08;-1.22608e-07
-0.319658;1.50936e-07;2.8765498000000003e-08;-1.22171e-07
-0.318583;1.51046e-07;2.9093622e-08;-1.21952e-07
-0.317509;1.50718e-07;2.9312370000000003e-08;-1.21405e-07
-0.316434;1.50827e-07;2.9531118000000003e-08;-1.21296e-07
-0.31536;1.50608e-07;2.9859242e-08;-1.20749e-07
-0.314285;1.50936e-07;3.0187366e-08;-1.20749e-07
-0.31321099999999996;1.50608e-07;3.0406114000000004e-08;-1.20202e-07
-0.31213599999999997;1.50827e-07;3.073424e-08;-1.20093e-07
-0.311062;1.50827e-07;3.106236e-08;-1.19765e-07
-0.309987;1.50827e-07;3.1390486e-08;-1.1943599999999999e-07
-0.308913;1.50608e-07;3.149986e-08;-1.19108e-07
-0.307838;1.50936e-07;3.1827984e-08;-1.19108e-07
-0.306764;1.51155e-07;3.2374858000000005e-08;-1.1878e-07
-0.305689;1.51374e-07;3.2702980000000005e-08;-1.1867099999999999e-07
-0.30461499999999997;1.51155e-07;3.2812352e-08;-1.18343e-07
-0.30354;1.51593e-07;3.3468602000000006e-08;-1.1812399999999999e-07
-0.302466;1.51921e-07;3.4015476000000003e-08;-1.17905e-07
-0.30139099999999996;1.5203e-07;3.4124848e-08;-1.17905e-07
-0.300317;1.52577e-07;3.4890468e-08;-1.17686e-07
-0.299242;1.52796e-07;3.5327968e-08;-1.17468e-07
-0.298168;1.53014e-07;3.5656092e-08;-1.17358e-07
-0.29709399999999997;1.53452e-07;3.6093588e-08;-1.17358e-07
-0.296019;1.53889e-07;3.6749836e-08;-1.1714e-07
-0.294945;1.5421799999999999e-07;3.7187336e-08;-1.1703e-07
-0.29386999999999996;1.54874e-07;3.784358e-08;-1.1703e-07
-0.292796;1.54983e-07;3.8171708000000005e-08;-1.16811e-07
-0.291721;1.56077e-07;3.9156076e-08;-1.1692099999999999e-07
-0.290647;1.56843e-07;3.9593572000000006e-08;-1.1724899999999999e-07
-0.289572;1.57499e-07;4.0468572000000006e-08;-1.1703e-07
-0.288498;1.58483e-07;4.1234192000000005e-08;-1.1724899999999999e-07
-0.287423;1.5903e-07;4.1781064e-08;-1.1724899999999999e-07
-0.28634899999999996;1.60233e-07;4.2765436000000006e-08;-1.17468e-07
-0.28527399999999997;1.6078e-07;4.3421684e-08;-1.17358e-07
-0.2842;1.62093e-07;4.4515428e-08;-1.17577e-07
-0.28312499999999996;1.63077e-07;4.5281048e-08;-1.1779599999999999e-07
-0.282051;1.6395199999999998e-07;4.6265420000000006e-08;-1.17686e-07
-0.280976;1.65374e-07;4.735916400000001e-08;-1.18015e-07
-0.279902;1.66139e-07;4.8234160000000005e-08;-1.17905e-07
-0.278827;1.67452e-07;4.9109156e-08;-1.18343e-07
-0.27775299999999997;1.68874e-07;5.0312276e-08;-1.18561e-07
-0.276678;1.69968e-07;5.1296648000000006e-08;-1.1867099999999999e-07
-0.27560399999999996;1.71171e-07;5.239039200000001e-08;-1.1878e-07
-0.27452899999999997;1.72702e-07;5.337476e-08;-1.19327e-07
-0.273455;1.74452e-07;5.4796632000000006e-08;-1.19655e-07
-0.27238;1.75655e-07;5.5781004e-08;-1.19874e-07
-0.271306;1.77077e-07;5.6984124e-08;-1.20093e-07
-0.270231;1.7828e-07;5.7968492000000005e-08;-1.20311e-07
-0.269157;1.80249e-07;5.9280988e-08;-1.20968e-07
-0.26808299999999996;1.82108e-07;6.048410800000001e-08;-1.21624e-07
-0.26700799999999997;1.83202e-07;6.146848e-08;-1.21733e-07
-0.265934;1.8517099999999998e-07;6.267159600000001e-08;-1.22499e-07
-0.264859;1.86592e-07;6.3765344e-08;-1.22827e-07
-0.263785;1.88124e-07;6.4968464e-08;-1.23155e-07
-0.26271;1.89874e-07;6.6062208e-08;-1.23811e-07
-0.261636;1.91733e-07;6.7265328e-08;-1.24468e-07
-0.260561;1.9348299999999999e-07;6.846844800000001e-08;-1.2501499999999998e-07
-0.25948699999999997;1.9523299999999999e-07;6.9452816e-08;-1.2578e-07
-0.258412;1.97092e-07;7.054656000000001e-08;-1.26546e-07
-0.257338;1.98842e-07;7.1530936e-08;-1.27311e-07
-0.25626299999999996;2.00592e-07;7.2515296e-08;-1.28077e-07
