Applied potential [V];WE current [A]
-0.08773046400000001;-1.4879133e-05
-0.088916008;-1.540553e-05
-0.09010156000000001;-1.6043928e-05
-0.09128710400000001;-1.6575924e-05
-0.092472656;-1.7180724e-05
-0.09365820000000001;-1.7729519999999998e-05
-0.09484374400000001;-1.8631116e-05
-0.096029296;-1.9252712e-05
-0.09721484000000001;-1.986311e-05
-0.098400392;-2.052391e-05
-0.099585936;-2.1279904e-05
-0.100771;-2.20247e-05
-0.10195699999999999;-2.2864698e-05
-0.103142;-2.3738292e-05
-0.10432799999999999;-2.432629e-05
-0.105513;-2.5138285999999998e-05
-0.10669899999999999;-2.6067882e-05
-0.107884;-2.6941478e-05
-0.10907;-2.7792676e-05
-0.11025499999999999;-2.8447872e-05
-0.111441;-2.9495066e-05
-0.11262599999999999;-3.0340662e-05
-0.113812;-3.118626e-05
-0.11499799999999999;-3.2183056e-05
-0.116183;-3.2888652e-05
-0.117369;-3.3863048e-05
-0.11855399999999999;-3.4697444e-05
-0.11974;-3.5464644e-05
-0.12092499999999999;-3.6377436e-05
-0.122111;-3.7346232e-05
-0.12329599999999999;-3.8023827999999997e-05
-0.124482;-3.8763028e-05
-0.125667;-3.9703823999999997e-05
-0.126853;-4.040382e-05
-0.128039;-4.1283012e-05
-0.129224;-4.2067012e-05
-0.13041;-4.2705408e-05
-0.131595;-4.3287804e-05
-0.13278099999999998;-4.40662e-05
-0.133966;-4.48614e-05
-0.135152;-4.5482996e-05
-0.13633699999999999;-4.6166192e-05
-0.137523;-4.6927788e-05
-0.138708;-4.7498988e-05
-0.139894;-4.8372584e-05
-0.14107999999999998;-4.878698e-05
-0.142265;-4.966058e-05
-0.143451;-5.0416572e-05
-0.144636;-5.0942972e-05
-0.145822;-5.1626172e-05
-0.147007;-5.2180564e-05
-0.148193;-5.268456e-05
-0.14937799999999998;-5.351336e-05
-0.150564;-5.403976e-05
-0.151749;-5.4823756e-05
-0.152935;-5.5266152e-05
-0.15412099999999998;-5.5971752e-05
-0.155306;-5.6391748e-05
-0.156492;-5.6895744e-05
-0.15767699999999998;-5.7444543999999996e-05
-0.158863;-5.8060535999999996e-05
-0.160048;-5.8603736e-05
-0.161234;-5.9062936e-05
-0.16241899999999998;-5.9471736e-05
-0.163605;-5.9986932e-05
-0.164791;-6.1095728e-05
-0.16597599999999998;-6.124132e-05
-0.167162;-6.1498924e-05
-0.168347;-6.1986124e-05
-0.169533;-6.248452e-05
-0.17071799999999998;-6.250692e-05
-0.171904;-6.2590924e-05
-0.173089;-6.304452e-05
-0.17427499999999999;-6.3279716e-05
-0.17546;-6.361011599999999e-05
-0.176646;-6.3867716e-05
-0.177832;-6.3806108e-05
-0.17901699999999998;-6.3929312e-05
-0.180203;-6.4287712e-05
-0.181388;-6.4298908e-05
-0.182574;-6.4063716e-05
-0.18375899999999998;-6.4298908e-05
-0.184945;-6.4332508e-05
-0.18613;-6.4427708e-05
-0.18731599999999998;-6.4382912e-05
-0.188501;-6.4052516e-05
-0.189687;-6.4119708e-05
-0.190873;-6.414771599999999e-05
-0.19205799999999998;-6.347012e-05
-0.193244;-6.367171599999999e-05
-0.194429;-6.317332e-05
-0.19561499999999998;-6.2842916e-05
-0.1968;-6.252372e-05
-0.197986;-6.1941324e-05
-0.199171;-6.1717328e-05
-0.20035699999999998;-6.1050924e-05
-0.201542;-6.0608524e-05
-0.202728;-5.9650928e-05
-0.20391399999999998;-5.9314928e-05
-0.205099;-5.8732532e-05
-0.206285;-5.8234136e-05
-0.20747;-5.756774e-05
-0.20865599999999998;-5.6923744e-05
-0.209841;-5.6302144e-05
-0.211027;-5.5641352e-05
-0.21221199999999998;-5.4941352e-05
-0.21339799999999998;-5.5081356e-05
-0.214583;-5.4476556e-05
-0.215769;-5.4190952e-05
-0.21695499999999998;-5.4146156e-05
-0.21814;-5.4022956e-05
-0.219326;-5.3625355999999996e-05
-0.22051099999999998;-5.3031764e-05
-0.22169699999999998;-5.327256e-05
-0.222882;-5.302616e-05
-0.224068;-5.308776e-05
-0.22525299999999998;-5.3110159999999996e-05
-0.226439;-5.293656e-05
-0.227624;-5.3082164e-05
-0.22880999999999999;-5.2986964e-05
-0.22999599999999998;-5.2930959999999996e-05
-0.231181;-5.281336e-05
-0.232367;-5.302616e-05
-0.23355199999999998;-5.2998164e-05
-0.234738;-5.3115764e-05
-0.235923;-5.318856e-05
-0.237109;-5.2919763999999996e-05
-0.23829399999999998;-5.289736e-05
-0.23948;-5.2785364e-05
-0.240666;-5.2594964e-05
-0.24185099999999998;-5.2354163999999996e-05
-0.24303699999999998;-5.2208568e-05
-0.244222;-5.1497364e-05
-0.245408;-5.1312572e-05
-0.24659299999999998;-5.0892572e-05
-0.247779;-5.0461372e-05
-0.248964;-5.0153372e-05
-0.25015;-4.9335776e-05
-0.251335;-4.869178e-05
-0.252521;-4.8014184e-05
