Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (15 Hz),WE current filtered [A] (5 Hz),WE current filtered [A] (2 Hz)
-0.436776,2.16649e-06,6.11622e-07,-1.554868e-06,2.155023547653222e-06,2.1036881801326477e-06,2.0837333248485985e-06
-0.435702,2.059303e-06,5.70497e-07,-1.488805e-06,2.0251437705643718e-06,2.0570754651752575e-06,2.0892326798055892e-06
-0.434627,1.906616e-06,5.302469999999999e-07,-1.376368e-06,1.8975157127030914e-06,2.0153370033499932e-06,2.095075289671887e-06
-0.4335529999999999,1.745179e-06,5.25435e-07,-1.219744e-06,1.8051263063979164e-06,1.979999724094797e-06,2.1010270935650843e-06
-0.432478,1.707992e-06,5.521219999999999e-07,-1.155869e-06,1.7707264667023831e-06,1.952218123517274e-06,2.106873051729169e-06
-0.4314039999999999,1.909679e-06,5.49935e-07,-1.359743e-06,1.7970012931817092e-06,1.932710173967306e-06,2.11241843530594e-06
-0.4303289999999999,1.895678e-06,7.16621e-07,-1.179057e-06,1.8676094251799652e-06,1.921735047767398e-06,2.1174897544804976e-06
-0.429255,1.896991e-06,7.47246e-07,-1.149744e-06,1.955821830404666e-06,1.9191131262284994e-06,2.1219353542537606e-06
-0.42818,1.994116e-06,7.04371e-07,-1.289744e-06,2.0340662742634806e-06,1.924282481461663e-06,2.125625707366792e-06
-0.427106,2.09124e-06,7.30621e-07,-1.360618e-06,2.0813498285194173e-06,1.9363810083003277e-06,2.128453433278241e-06
-0.426031,2.147677e-06,7.29309e-07,-1.418368e-06,2.0892308641630123e-06,1.9543405739112022e-06,2.130333070836038e-06
-0.424957,2.07199e-06,6.10747e-07,-1.461243e-06,2.0654101227877633e-06,1.976979337084626e-06,2.1312006306099624e-06
-0.423882,1.998053e-06,5.31122e-07,-1.46693e-06,2.0310739159396575e-06,2.003080612432168e-06,2.131012950939001e-06
-0.4228079999999999,1.997178e-06,5.3156e-07,-1.465618e-06,2.010488256562884e-06,2.0314506608985437e-06,2.1297468797231874e-06
-0.4217329999999999,2.003303e-06,5.438099999999999e-07,-1.459493e-06,2.0180676670670726e-06,2.0609525761342485e-06,2.127398301938673e-06
-0.420659,2.07374e-06,6.21247e-07,-1.452493e-06,2.0516169867916725e-06,2.090517957784119e-06,2.12398103084262e-06
-0.4195839999999999,2.117052e-06,6.74184e-07,-1.442868e-06,2.0961791126735182e-06,2.119141541887211e-06,2.119525578933091e-06
-0.41851,2.131928e-06,7.10934e-07,-1.420993e-06,2.1348138774528794e-06,2.1458660513847e-06,2.1140778230278898e-06
-0.417435,2.14374e-06,7.39809e-07,-1.403931e-06,2.1581839143252274e-06,2.169765259558489e-06,2.1076975764226227e-06
-0.416361,2.158615e-06,7.66934e-07,-1.391681e-06,2.1672406376991983e-06,2.1899328312855295e-06,2.1004570800668315e-06
-0.415286,2.179177e-06,7.92308e-07,-1.386868e-06,2.169254203647567e-06,2.2054831512836936e-06,2.0924394241134956e-06
-0.4142119999999999,2.174802e-06,8.10246e-07,-1.364556e-06,2.171506193087384e-06,2.2155682659954378e-06,2.0837369110727705e-06
-0.413137,2.17349e-06,8.10683e-07,-1.362806e-06,2.176936051890444e-06,2.219412452774701e-06,2.0744493721253617e-06
-0.4120629999999999,2.181365e-06,8.29496e-07,-1.351868e-06,2.183571550733877e-06,2.2163630167228183e-06,2.064682448888785e-06
-0.410989,2.184427e-06,8.38246e-07,-1.346181e-06,2.1871658971108045e-06,2.2059529820367024e-06,2.0545458540240537e-06
-0.409914,2.18749e-06,8.34746e-07,-1.352743e-06,2.185039903459855e-06,2.187968717480148e-06,2.044151625446416e-06
-0.40884,2.182677e-06,8.39121e-07,-1.343556e-06,2.1785237507742673e-06,2.1625135688627803e-06,2.033612390472078e-06
-0.407765,2.18574e-06,8.434959999999999e-07,-1.342243e-06,2.1717831444989523e-06,2.1300576096288267e-06,2.0230396578907074e-06
-0.4066909999999999,2.162115e-06,8.33871e-07,-1.328244e-06,2.1667860969124443e-06,2.091463941189482e-06,2.012542157585678e-06
-0.405616,2.141552e-06,8.26871e-07,-1.314681e-06,2.157424108775344e-06,2.0479837243907193e-06,2.0022242488031024e-06
-0.4045419999999999,2.106553e-06,8.10246e-07,-1.296306e-06,2.128196638535799e-06,2.001215264791387e-06,1.992184419358818e-06
-0.4034669999999999,2.059303e-06,7.87934e-07,-1.271369e-06,2.0614052085369216e-06,1.953026750297912e-06,1.982513898824672e-06
-0.402393,1.986678e-06,7.64309e-07,-1.222369e-06,1.950669524188536e-06,1.9054471654474681e-06,1.973295408905277e-06
-0.401318,1.860679e-06,7.15309e-07,-1.145369e-06,1.8116445089233729e-06,1.8605347915391088e-06,1.964602073663929e-06
-0.400244,1.666867e-06,6.47934e-07,-1.018932e-06,1.679921104022808e-06,1.8202367078838954e-06,1.9564965108582884e-06
-0.399169,1.512868e-06,6.13809e-07,-8.99058e-07,1.5945396356196377e-06,1.7862549660174113e-06,1.9490301233107794e-06
-0.398095,1.500618e-06,5.92809e-07,-9.07808e-07,1.5775313057399933e-06,1.7599349098004323e-06,1.942242605925476e-06
-0.39702,1.792866e-06,6.02872e-07,-1.189994e-06,1.623939194084146e-06,1.7421881898944294e-06,1.9361616797110187e-06
-0.3959459999999999,1.738179e-06,7.476839999999999e-07,-9.90495e-07,1.7078480727507893e-06,1.7334577742341954e-06,1.930803059115969e-06
-0.3948709999999999,1.702304e-06,8.53558e-07,-8.48746e-07,1.7969986979385338e-06,1.733725771375231e-06,1.926170653363747e-06
-0.393797,1.812554e-06,8.18121e-07,-9.94433e-07,1.8649936352870074e-06,1.7425585980972049e-06,1.92225699658303e-06
