Applied potential [V];WE current [A]
-0.099077016;-3.32656e-05
-0.10007779200000001;-3.3998364e-05
-0.10107856800000001;-3.4618395999999996e-05
-0.102079344;-3.5304183999999996e-05
-0.10308012000000001;-3.6046344e-05
-0.104080904;-3.6666376e-05
-0.105081688;-3.7502475999999996e-05
-0.106082464;-3.8197668e-05
-0.10708324000000001;-3.893982e-05
-0.108084016;-3.9728952e-05
-0.109084792;-4.0480504e-05
-0.11008556800000001;-4.1391764e-05
-0.111086344;-4.21715e-05
-0.11208712800000001;-4.2951236e-05
-0.113087904;-4.3834312e-05
-0.11408868800000001;-4.4576468e-05
-0.115089464;-4.5525304e-05
-0.11609024000000001;-4.6380192e-05
-0.117091016;-4.7159931999999996e-05
-0.118091792;-4.8108764e-05
-0.119092576;-4.8907291999999997e-05
-0.12009335200000001;-4.9837335999999996e-05
-0.12109412800000001;-5.0682831999999996e-05
-0.122094904;-5.1490756e-05
-0.12309568000000001;-5.2402016e-05
-0.124096464;-5.3153564e-05
-0.125097248;-5.413998e-05
-0.126098024;-5.4957292e-05
-0.1270988;-5.5699448e-05
-0.12809957600000002;-5.6610704e-05
-0.129100352;-5.7315288e-05
-0.130101128;-5.826412e-05
-0.13110190400000002;-5.8996888e-05
-0.13210268;-5.978602e-05
-0.133103464;-6.0565756e-05
-0.13410424;-6.1260936e-05
-0.135105;-6.21722e-05
-0.136105;-6.2829808e-05
-0.137106;-6.35062e-05
-0.138107;-6.4182596e-05
-0.13910799999999998;-6.4849604e-05
-0.14010799999999998;-6.5648128e-05
-0.14110899999999998;-6.6221188e-05
-0.14211;-6.6841216e-05
-0.143111;-6.749883199999999e-05
-0.144112;-6.8006128e-05
-0.145112;-6.8654344e-05
-0.146113;-6.9218e-05
-0.147114;-6.972530399999999e-05
-0.148115;-7.029836e-05
-0.149115;-7.070232e-05
-0.150116;-7.128477599999999e-05
-0.151117;-7.178268e-05
-0.152118;-7.2186632e-05
-0.153119;-7.2628168e-05
-0.154119;-7.3041528e-05
-0.15511999999999998;-7.3577008e-05
-0.15612099999999998;-7.385884e-05
-0.15712199999999998;-7.4234624e-05
-0.15812199999999998;-7.4704344e-05
-0.159123;-7.4929808e-05
-0.160124;-7.5371344e-05
-0.161125;-7.569075199999999e-05
-0.162126;-7.593500799999999e-05
-0.163126;-7.6367144e-05
-0.164127;-7.6536256e-05
-0.165128;-7.6902624e-05
-0.166129;-7.7165664e-05
-0.167129;-7.7334776e-05
-0.16813;-7.762599999999999e-05
-0.169131;-7.7766912e-05
-0.170132;-7.808631999999999e-05
-0.17113299999999998;-7.834936e-05
-0.17213299999999998;-7.843392e-05
-0.17313399999999998;-7.870636e-05
-0.17413499999999998;-7.8706352e-05
-0.175136;-7.903516e-05
-0.176136;-7.9100928e-05
-0.177137;-7.9082128e-05
-0.178138;-7.9298208e-05
-0.179139;-7.9194864e-05
-0.18014;-7.9392144e-05
-0.18114;-7.9363968e-05
-0.182141;-7.9298208e-05
-0.183142;-7.9382752e-05
-0.184143;-7.9176072e-05
-0.185143;-7.9251232e-05
-0.186144;-7.9176072e-05
-0.18714499999999998;-7.9016368e-05
-0.18814599999999998;-7.8960008e-05
-0.18914699999999998;-7.8678168e-05
-0.19014699999999998;-7.8668776e-05
-0.19114799999999998;-7.849968e-05
-0.192149;-7.8189664e-05
-0.19315;-7.8142688e-05
-0.19415;-7.7776312e-05
-0.195151;-7.7672976e-05
-0.196152;-7.742872e-05
-0.197153;-7.7071728e-05
-0.198154;-7.688384e-05
-0.199154;-7.6404728e-05
-0.200155;-7.634835999999999e-05
-0.201156;-7.601956e-05
-0.202157;-7.5643776e-05
-0.203157;-7.5390128e-05
-0.20415799999999998;-7.4957992e-05
-0.20515899999999998;-7.4807672e-05
-0.20615999999999998;-7.4488264e-05
-0.20716099999999998;-7.4093704e-05
-0.20816099999999998;-7.3849448e-05
-0.209162;-7.3426696e-05
-0.210163;-7.3379728e-05
-0.211164;-7.3069712e-05
-0.212164;-7.277847999999999e-05
-0.213165;-7.25906e-05
-0.214166;-7.22524e-05
-0.215167;-7.2355736e-05
-0.216168;-7.2158456e-05
-0.217168;-7.195177599999999e-05
-0.218169;-7.197996e-05
-0.21917;-7.1763888e-05
-0.22017099999999998;-7.195177599999999e-05
-0.22117099999999998;-7.197056e-05
-0.22217199999999998;-7.192358399999999e-05
